EXPECTED_CATEGORY,DETECTED_CATEGORY,MENU_ITEM,DETECTED_CARD_TITLE,COPY_CONTENT,UAT_DESCRIPTION,CONTENT_STATUS,NUTRITION_MISMATCH,NUTRITION_INFO_STATUS,NUTRITION_SCREENSHOT,SCREENSHOT
LUNCH,LUNCH,Tuna Melt,TUNA MELT,White albacore tuna salad with Jack cheese on grilled sourdough bread.,White albacore tuna salad with Jack cheese on grilled sourdough bread.,MATCH,Calories from Fat: INPUT=470 | UAT=400,MISMATCH,./output/main-menu/screenshots/nutrition/Tuna_Melt_nutrition.png,./output/main-menu/screenshots/front/Tuna_Melt.png
LUNCH,LUNCH,"Soup, Salad, Sandwich Combo","SOUP, SALAD, SANDWICH COMBO","Your choice of soup, salad, and half a sandwich.","Your choice of soup, salad, and half a sandwich.",MATCH,,NO_NUTRITIONAL_INFO,,./output/main-menu/screenshots/front/Soup_Salad_Sandwich_Combo.png
LUNCH,LUNCH,Chicken Tortilla Soup,CHICKEN TORTILLA SOUP,Topped with tortilla strips and cilantro.,"Topped with tortilla strips and cilantro.

‍",MATCH,,NOT_FOUND,./output/main-menu/screenshots/nutrition/Chicken_Tortilla_Soup_nutrition.png,./output/main-menu/screenshots/front/Chicken_Tortilla_Soup.png
LUNCH,LUNCH,House Salad,HOUSE SALAD,"Mixed greens, cherry tomatoes, shredded cheddar cheese, housemade croutons, choice of dressing.","Mixed greens, cherry tomatoes, shredded cheddar cheese, housemade croutons, choice of dressing.",MATCH,Calories: INPUT=70 | UAT=250/390,VARIANT_MISMATCH -> House Salad (no dressing),./output/main-menu/screenshots/nutrition/House_Salad_nutrition.png,./output/main-menu/screenshots/front/House_Salad.png
LUNCH,LUNCH,Greek Salad,GREEK SALAD,"Feta cheese, Kalamata olives, red and green bell pepper, red onion, diced tomato and Romaine lettuce with balsamic vinaigrette.","Feta cheese, Kalamata olives, red and green bell pepper, red onion, diced tomato and Romaine lettuce with balsamic vinaigrette.",MATCH,,VARIANT_MATCH -> Greek Salad (incl. balsamic vinaigrette),./output/main-menu/screenshots/nutrition/Greek_Salad_nutrition.png,./output/main-menu/screenshots/front/Greek_Salad.png
LUNCH,LUNCH,Very Berry Salad,VERY BERRY SALAD,"Fresh strawberries and blueberries, sliced almonds, goat cheese and mixed greens with fat-free raspberry vinaigrette.","Fresh strawberries and blueberries, sliced almonds, goat cheese and mixed greens with fat-free raspberry vinaigrette.",MATCH,Calories: INPUT=940 | UAT=470,VARIANT_MISMATCH -> Very Berry Salad (incl. raspberry vinaigrette),./output/main-menu/screenshots/nutrition/Very_Berry_Salad_nutrition.png,./output/main-menu/screenshots/front/Very_Berry_Salad.png
LUNCH,LUNCH,Grilled Chicken Caesar Salad,GRILLED CHICKEN CAESAR SALAD,"Diced grilled chicken, parmesan cheese, housemade croutons and Romaine lettuce, tossed with Caesar dressing.","Diced grilled chicken, parmesan cheese, housemade croutons and Romaine lettuce, tossed with Caesar dressing.",MATCH,,VARIANT_MATCH -> Grilled Chicken Caesar Salad (incl. dressing),./output/main-menu/screenshots/nutrition/Grilled_Chicken_Caesar_Salad_nutrition.png,./output/main-menu/screenshots/front/Grilled_Chicken_Caesar_Salad.png
BEVERAGES,BEVERAGES,Strawberry Banana Smoothie,STRAWBERRY BANANA SMOOTHIE,A fruity blend of strawberries and bananas.,A fruity blend of strawberries and bananas.,MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Strawberry_Banana_Smoothie_nutrition.png,./output/main-menu/screenshots/front/Strawberry_Banana_Smoothie.png
BEVERAGES,BEVERAGES,Blueberry Banana Smoothie,BLUEBERRY BANANA SMOOTHIE,A fruity blend of blueberries and bananas.,A fruity blend of blueberries and bananas.,MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Blueberry_Banana_Smoothie_nutrition.png,./output/main-menu/screenshots/front/Blueberry_Banana_Smoothie.png
BEVERAGES,BEVERAGES,Pomegranate Juice,POMEGRANATE JUICE,"A bright and tangy superfruit juice, served chilled for a refreshing burst of flavor.","A bright and tangy superfruit juice, served chilled for a refreshing burst of flavor.",MATCH,,VARIANT_MATCH -> Pomegranate Juice (Glass),./output/main-menu/screenshots/nutrition/Pomegranate_Juice_nutrition.png,./output/main-menu/screenshots/front/Pomegranate_Juice.png
BEVERAGES,BEVERAGES,Cranberry Juice,CRANBERRY JUICE,"Crisp, tart, and brilliantly bold.","Crisp, tart, and brilliantly bold.",MATCH,,VARIANT_MATCH -> Cranberry Juice (Glass),./output/main-menu/screenshots/nutrition/Cranberry_Juice_nutrition.png,./output/main-menu/screenshots/front/Cranberry_Juice.png
BEVERAGES,BEVERAGES,Lemonade,LEMONADE,"Crisp and invigorating. Our lemonade is served ice-cold for a clean, citrusy finish.","Crisp and invigorating. Our lemonade is served ice-cold for a clean, citrusy finish.",MATCH,,VARIANT_MATCH -> Lemonade (Carafe),./output/main-menu/screenshots/nutrition/Lemonade_nutrition.png,./output/main-menu/screenshots/front/Lemonade.png
BEVERAGES,BEVERAGES,"Orange, Apple, or Grapefruit Juice","ORANGE, APPLE, OR GRAPEFRUIT JUICE","A selection of our classic, fruit-forward favorites.","A selection of our classic, fruit-forward favorites.",MATCH,,"VARIANT_MATCH -> Orange, Apple, or Grapefruit Juice (Glass)",./output/main-menu/screenshots/nutrition/Orange_Apple_or_Grapefruit_Juice_nutrition.png,./output/main-menu/screenshots/front/Orange_Apple_or_Grapefruit_Juice.png
BEVERAGES,BEVERAGES,Soda,SODA,"A selection of crisp, bubbly favorites served ice-cold to perfectly complement your meal.","A selection of crisp, bubbly favorites served ice-cold to perfectly complement your meal.",MATCH,,POSSIBLE_MATCH -> Pepsi,./output/main-menu/screenshots/nutrition/Soda_nutrition.png,./output/main-menu/screenshots/front/Soda.png
BEVERAGES,BEVERAGES,Iced Tea,ICED TEA,"Carefully steeped for a clean, crisp finish. Served over ice with a fresh lemon wedge.","Carefully steeped for a clean, crisp finish. Served over ice with a fresh lemon wedge.",MATCH,,VARIANT_MATCH -> Unsweetened Iced Tea,./output/main-menu/screenshots/nutrition/Iced_Tea_nutrition.png,./output/main-menu/screenshots/front/Iced_Tea.png
BEVERAGES,BEVERAGES,Arnold Palmer,ARNOLD PALMER,"The ultimate duo. A refreshing, 50/50 blend of carefully-brewed iced tea and tangy lemonade.","The ultimate duo. A refreshing, 50/50 blend of carefully-brewed iced tea and tangy lemonade.",MATCH,,VARIANT_MATCH -> Arnold Palmer Iced Tea,./output/main-menu/screenshots/nutrition/Arnold_Palmer_nutrition.png,./output/main-menu/screenshots/front/Arnold_Palmer.png
BEVERAGES,BEVERAGES,Red Bull,RED BULL,A single 8.4oz can of original Red Bull energy.,"A single 8.4oz can of original Red Bull energy.

‍",MATCH,,VARIANT_MATCH -> Red Bull (8oz. Can),./output/main-menu/screenshots/nutrition/Red_Bull_nutrition.png,./output/main-menu/screenshots/front/Red_Bull.png
BEVERAGES,BEVERAGES,Hot Tea,HOT TEA,"A comforting, aromatic brew. Ask about our selection of herbal and caffeinated tea blends.","A comforting, aromatic brew. Ask about our selection of herbal and caffeinated tea blends.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Hot_Tea_nutrition.png,./output/main-menu/screenshots/front/Hot_Tea.png
BEVERAGES,BEVERAGES,Hot Cocoa,HOT COCOA,Decadently creamy and served at the perfect temperature for sipping.,Decadently creamy and served at the perfect temperature for sipping.,MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Hot_Cocoa_nutrition.png,./output/main-menu/screenshots/front/Hot_Cocoa.png
BEVERAGES,BEVERAGES,Milk,MILK,Served chilled in BYC's signature pilsner glass.,Served chilled in BYC's signature pilsner glass.,MATCH,,VARIANT_MATCH -> Milk 2%,./output/main-menu/screenshots/nutrition/Milk_nutrition.png,./output/main-menu/screenshots/front/Milk.png
BEVERAGES,BEVERAGES,Mimosa Flight,MIMOSA FLIGHT,"Wycliff Sparkling with orange juice, pomegranate, lemonade, and grapefruit.","Wycliff Sparkling with orange juice, pomegranate, lemonade, and grapefruit.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Mimosa_Flight_nutrition.png,./output/main-menu/screenshots/front/Mimosa_Flight.png
BEVERAGES,BEVERAGES,Tropical Flight,TROPICAL FLIGHT,"Wycliff Sparkling with mango juice, guava, pineapple, and strawberry lemonade.","Wycliff Sparkling with mango juice, guava, pineapple, and strawberry lemonade.",MATCH,Dietary Fiber (g): INPUT=<1 | UAT=-1,MISMATCH,./output/main-menu/screenshots/nutrition/Tropical_Flight_nutrition.png,./output/main-menu/screenshots/front/Tropical_Flight.png
BEVERAGES,BEVERAGES,Mimosa,MIMOSA,"Wycliff Sparkling with choice of orange, cranberry, or pomegranate juice.","Wycliff Sparkling with choice of orange, cranberry, or pomegranate juice.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Mimosa_nutrition.png,./output/main-menu/screenshots/front/Mimosa.png
BEVERAGES,BEVERAGES,Bloody Mary Flight,BLOODY MARY FLIGHT,"BYC Bloody Mary, Bloody Caesar, Bloody Maria and Red Snapper.","BYC Bloody Mary, Bloody Caesar, Bloody Maria and Red Snapper.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Bloody_Mary_Flight_nutrition.png,./output/main-menu/screenshots/front/Bloody_Mary_Flight.png
BEVERAGES,BEVERAGES,BYC Bloody Mary,BYC BLOODY MARY,"Wine-based vodka alternative. Bloody Mary mix, Tajin rim, bacon garnish.","Wine-based vodka alternative. Bloody Mary mix, Tajin rim, bacon garnish.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/BYC_Bloody_Mary_nutrition.png,./output/main-menu/screenshots/front/BYC_Bloody_Mary.png
BEVERAGES,BEVERAGES,Bloody Caesar,BLOODY CAESAR,"Wine-based vodka alternative. Clamato juice, lemon juice, salt rim.","Wine-based vodka alternative. Clamato juice, lemon juice, salt rim.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Bloody_Caesar_nutrition.png,./output/main-menu/screenshots/front/Bloody_Caesar.png
BEVERAGES,BEVERAGES,Bloody Maria,BLOODY MARIA,"Premium agave wine-based tequila alternative. Bloody Mary mix, Tajin rim, jalapeno garnish.","Premium agave wine-based tequila alternative. Bloody Mary mix, Tajin rim, jalapeno garnish.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Bloody_Maria_nutrition.png,./output/main-menu/screenshots/front/Bloody_Maria.png
BEVERAGES,BEVERAGES,Red Snapper,RED SNAPPER,"Wine-based gin alternative. Bloody Mary mix, peppered rim.","Wine-based gin alternative. Bloody Mary mix, peppered rim.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Red_Snapper_nutrition.png,./output/main-menu/screenshots/front/Red_Snapper.png
BEVERAGES,BEVERAGES,Bellini,BELLINI,"Wycliff Sparkling, peach and raspberry puree.","Wycliff Sparkling, peach and raspberry puree.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Bellini_nutrition.png,./output/main-menu/screenshots/front/Bellini.png
BEVERAGES,BEVERAGES,Bucket o’ Bubbles,BUCKET O’ BUBBLES,"Wycliff Sparkling or La Marca Prosecco with two mixers: orange juice, pomegranate juice, cranberry juice, grapefruit juice, or lemonade.","Wycliff Sparkling or La Marca Prosecco with two mixers: orange juice, pomegranate juice, cranberry juice, grapefruit juice, or lemonade.",MATCH,,MATCH,./output/main-menu/screenshots/nutrition/Bucket_o_Bubbles_nutrition.png,./output/main-menu/screenshots/front/Bucket_o_Bubbles.png
BEVERAGES,BEVERAGES,Just the Bubbles,JUST THE BUBBLES,Wycliff Sparkling or La Marca Prosecco,Wycliff Sparkling or La Marca Prosecco,MATCH,,NO_NUTRITIONAL_INFO,,./output/main-menu/screenshots/front/Just_the_Bubbles.png
BEVERAGES,,Domestic Beer,,A rotating selection of domestically brewed beers. Options vary by location and region.,,UNKNOWN,,NO_NUTRITIONAL_INFO,,
BEVERAGES,,Imported Beer,,A rotating selection of internationally brewed beers. Options vary by location and region.,,UNKNOWN,,NO_NUTRITIONAL_INFO,,
BEVERAGES,,Espresso,,"Made using top class Lavazza coffee beans from Torino, Italy.",,UNKNOWN,,NO_NUTRITIONAL_INFO,,
BEVERAGES,,Cappuccino,,"Made using top class Lavazza coffee beans from Torino, Italy.",,UNKNOWN,,NO_NUTRITIONAL_INFO,,
BEVERAGES,,Caffe Latte,,"Made using top class Lavazza coffee beans from Torino, Italy.",,UNKNOWN,,NO_NUTRITIONAL_INFO,,
BEVERAGES,,Mocha Latte,,"Made using top class Lavazza coffee beans from Torino, Italy.",,UNKNOWN,,NO_NUTRITIONAL_INFO,,
BEVERAGES,,Messy Caramel Latte,,Medium roast Lavazza coffee beans blended with caramel. Topped with whipped cream and a caramel drizzle.,,UNKNOWN,,NO_NUTRITIONAL_INFO,,
BEVERAGES,,Chai Tea Latte,,A spiced tea blend combined with steamed milk (hot) or poured over ice (iced).,,UNKNOWN,,NO_NUTRITIONAL_INFO,,
BEVERAGES,,Matcha Green Tea Latte,,Green tea matcha shaken with pineapple juice and sweet coconut milk.,,UNKNOWN,,NO_NUTRITIONAL_INFO,,
BEVERAGES,,Pineappple Matcha Latte,,"A refreshing, dairy-free beverage featuring green tea matcha shaken with pineapple juice and coconut milk.",,UNKNOWN,,NO_NUTRITIONAL_INFO,,
BEVERAGES,,Coffee,,"Brewed using top class Lavazza coffee beans from Torino, Italy.",,UNKNOWN,,NO_NUTRITIONAL_INFO,,
BEVERAGES,,Cold Brew,,"Brewed using top class Lavazza coffee beans from Torino, Italy.",,UNKNOWN,,NO_NUTRITIONAL_INFO,,
BEVERAGES,,Red Bull Razz-Berry Rush,,"Red Bull, blue raspberry syrup, fresh lime juice",,UNKNOWN,,NO_NUTRITIONAL_INFO,,
BEVERAGES,,Dreamsicle,,"Fresh orange juice, vanilla cream, Wycliff Sparkling, wine-based vodka alternative.",,UNKNOWN,,NO_NUTRITIONAL_INFO,,
BEVERAGES,,Pucker Up Lemonade,,"Strawberry purée, citrus blend, Le’Cello, wine-based vodka alternative.",,UNKNOWN,,NO_NUTRITIONAL_INFO,,
BEVERAGES,,Pomegranate Sunrise,,"Fresh orange juice, pomegranate juice, agave nectar, premium agave wine-based tequila alternative.",,UNKNOWN,,NO_NUTRITIONAL_INFO,,
BEVERAGES,,Red Bull-Mosa,,"Red Bull Yellow Edition (Tropical), Wycliff Sparkling, orange juice.",,UNKNOWN,,NO_NUTRITIONAL_INFO,,
BEVERAGES,,Red Bull Watermelon Margarita,,"Red Bull Red Edition (Watermelon), agave nectar, fresh lime juice, wine-based tequila alternative.",,UNKNOWN,,NO_NUTRITIONAL_INFO,,
BEVERAGES,,Espresso Martini,,"Espresso, Espresso liqueur, Féileacán Irish Creme, wine-based vodka alternative.",,UNKNOWN,,NO_NUTRITIONAL_INFO,,
